District,Year,Month,Rainfall,Temperature,Soil_Moisture,NDVI
Jangaon,2019,8,250.847622268829,26.282798045715364,0.3901643776435238,0.6211454773766739
Jangaon,2019,9,238.25043004211147,25.690149775838822,0.4071849959641515,0.6760053863116625
Jangaon,2019,10,170.8745950289412,25.021265809859678,0.4146271650617625,0.627889672492649
Jangaon,2019,11,5.452799425512403,24.435939896693053,0.3237094730079278,0.6475400502286828
Jangaon,2019,12,7.600586649673561,22.23756711184184,0.2516911816596228,0.5085482603724272
Jangaon,2020,1,6.331509446948387,22.76380053890845,0.2236311585347062,0.4596512700098004
Jangaon,2020,2,4.992587208941304,23.994210547562787,0.1908400655851449,0.5008269274746815
Jangaon,2020,3,10.726227450857063,27.38529731993649,0.1431189728084373,0.4689455978438417
Jangaon,2020,4,15.14014160293658,30.25805613721208,0.1262499922057227,0.3587064235543938
Jangaon,2020,5,64.34665929980507,32.66908993587794,0.1295949106851303,0.2955374244527932
Jangaon,2020,6,187.0516673264284,28.68700601020489,0.2899643328675442,0.4421220883698135
Jangaon,2020,7,248.05131225192733,26.471856261783287,0.4062529996521723,0.5834468188500488
Jangaon,2020,8,311.9879268114961,25.976324848616294,0.3980589411437447,0.621921498284874
Jangaon,2020,9,342.87746060675136,26.45610329143591,0.3790513528903956,0.6913847700914729
Jangaon,2020,10,254.60577653974897,25.63800459063157,0.3774200318606069,0.6124860870630511
Jangaon,2020,11,6.606661393449527,23.613497833657146,0.2490072413015988,0.5139341556054726
Jangaon,2020,12,0.9294486599175188,21.53842191370841,0.2110831972391677,0.4470510578768938
Jangaon,2021,1,4.2161373562590425,23.28450148430504,0.1359896300128992,0.4083939745998035
Jangaon,2021,2,4.303119434478143,23.77954784685786,0.1204235212642768,0.4733802842208426
Jangaon,2021,3,0.0005644218197566,28.04092867368919,0.1171221713922489,0.4838494568768373
Jangaon,2021,4,23.21182340892584,29.928919856127468,0.1301289987112329,0.3819837655178044
Jangaon,2021,5,29.10568000871052,30.90797881048392,0.1585250011470663,0.3131162651094413
Jangaon,2021,6,172.63268990748077,27.90553808058235,0.2813737449457677,0.4464835347925513
Jangaon,2021,7,283.7139322378598,26.524042175140558,0.3602445214189169,0.4975677086736357
Jangaon,2021,8,158.2966121572585,26.78432927734919,0.3231734801956323,0.5797205508820646
Jangaon,2021,9,213.6539252305588,25.83817489787004,0.3931113037285367,0.6954577772786666
Jangaon,2021,10,51.22580999617795,25.85446669204045,0.3462943494675231,0.6517567216595888
Jangaon,2021,11,36.72946582268573,24.117900479865877,0.3095124422605986,0.5397059498529891
Jangaon,2021,12,1.0733385970954643,22.156809602770323,0.1976064721003318,0.4563518008820645
Jangaon,2022,1,4.734449576261378,21.630004334020235,0.174294800205818,0.3908544184906892
Jangaon,2022,2,3.1948355402364945,23.958359135097982,0.1230731598722364,0.4683426453773274
Jangaon,2022,3,0.0006397351903702,28.83943563900304,0.1176301035691579,0.4690926310846127
Jangaon,2022,4,12.283375487147564,31.155012101097903,0.1202853462787724,0.3942550677883044
Jangaon,2022,5,34.99826211134678,32.34994876454057,0.1408991596139658,0.2940478642600456
Jangaon,2022,6,203.72281264717935,30.25787912268593,0.2361009346118592,0.2750942543286505
Jangaon,2022,7,477.6779009383578,25.6336301849438,0.4091531740848297,0.4789048329794183
Jangaon,2022,8,181.04056552617777,26.49275345458241,0.3698887346077907,0.6097273113361645
Jangaon,2022,9,246.56012173218429,26.127678007160284,0.3824497447221039,0.6748296451323096
Jangaon,2022,10,110.91411583895608,24.458177733203662,0.3795539152790855,0.6329603748928
Jangaon,2022,11,1.0580712572240354,23.08895805391013,0.2220017223246686,0.4896302270499836
Jangaon,2022,12,12.622658719682205,23.491302067793303,0.1901699813008164,0.4243689215125775
Jangaon,2023,1,1.892358381238293,22.521851401702197,0.1377188962082595,0.4224799105684418
Jangaon,2023,2,3.194829603141965,25.043774550617695,0.1188616936693178,0.4685544634106499
Jangaon,2023,3,50.355958500600536,26.412109240758717,0.1986706393792167,0.5087817441195688
Jangaon,2023,4,64.76746365994481,29.505337811544518,0.1711960052880509,0.4656249714145702
Jangaon,2023,5,41.01945532692598,31.20601607647172,0.1865566994910197,0.4210097435478601
Jangaon,2023,6,87.95107323273282,31.7687311374028,0.1712038374634296,0.39080020418164
Jangaon,2023,7,414.8390957372379,26.65830409147907,0.3531304646158428,0.3549570238484155
Jangaon,2023,8,79.9211362449719,27.49552952165345,0.2833220812085554,0.5612520989872587
Jangaon,2023,9,233.7293682442246,26.480975005592857,0.3788175338296614,0.6895216330447566
Jangaon,2023,10,8.80287224598358,26.394867771338426,0.2511136086161721,0.5695410650114339
Jangaon,2023,11,12.336138722245886,25.14669471725356,0.2236090423970036,0.4648350171512577
Jangaon,2023,12,20.60191512569458,22.527632052026902,0.1899467692346187,0.4178383933676385
Jangaon,2024,1,1.7181565096202749,23.70099481715968,0.1274217869979974,0.3957996671839267
Jangaon,2024,2,3.093134959078961,26.13915421952809,0.1263022393783545,0.472087341229324
Jangaon,2024,3,11.522348959279007,28.72044017842788,0.1244479827468331,0.4631303434335184
Jangaon,2024,4,10.561606412594776,32.00263379692508,0.1228652493127819,0.3546375387945114
Jangaon,2024,5,55.68720353027818,31.705231456079428,0.2014492548146095,0.3972260494936292
Jangaon,2024,6,188.8466960123104,28.667244897339977,0.2976734789336302,0.4907366485625611
Jangaon,2024,7,294.60503609146656,26.020926859844224,0.3987842104789598,0.5092737238647501
Jangaon,2024,8,222.6064266821808,26.38134931462418,0.3937549954178477,0.6659010801208753
Jangaon,2024,9,243.3601905132149,25.952889125182462,0.3894487291486849,0.7246162508167262
Jangaon,2024,10,38.64342266716328,26.028084073090145,0.3596050444448717,0.6064907301535444
